"name","generation","type_1","type_2","height_m","weight_kg","total_points","hp","attack","defense","sp_attack","sp_defense","speed","catch_rate","base_friendship","base_experience","is_legendary"
"Bulbasaur",1,"Grass","Poison",0.7,6.9,318,45,49,49,65,65,45,45,70,64,FALSE
"Ivysaur",1,"Grass","Poison",1,13,405,60,62,63,80,80,60,45,70,142,FALSE
"Venusaur",1,"Grass","Poison",2,100,525,80,82,83,100,100,80,45,70,236,FALSE
"Mega Venusaur",1,"Grass","Poison",2.4,155.5,625,80,100,123,122,120,80,45,70,281,FALSE
"Charmander",1,"Fire","",0.6,8.5,309,39,52,43,60,50,65,45,70,62,FALSE
"Charmeleon",1,"Fire","",1.1,19,405,58,64,58,80,65,80,45,70,142,FALSE
"Charizard",1,"Fire","Flying",1.7,90.5,534,78,84,78,109,85,100,45,70,240,FALSE
"Mega Charizard X",1,"Fire","Dragon",1.7,110.5,634,78,130,111,130,85,100,45,70,285,FALSE
"Mega Charizard Y",1,"Fire","Flying",1.7,100.5,634,78,104,78,159,115,100,45,70,285,FALSE
"Squirtle",1,"Water","",0.5,9,314,44,48,65,50,64,43,45,70,63,FALSE
"Wartortle",1,"Water","",1,22.5,405,59,63,80,65,80,58,45,70,142,FALSE
"Blastoise",1,"Water","",1.6,85.5,530,79,83,100,85,105,78,45,70,239,FALSE
"Mega Blastoise",1,"Water","",1.6,101.1,630,79,103,120,135,115,78,45,70,284,FALSE
"Caterpie",1,"Bug","",0.3,2.9,195,45,30,35,20,20,45,255,70,39,FALSE
"Metapod",1,"Bug","",0.7,9.9,205,50,20,55,25,25,30,120,70,72,FALSE
"Butterfree",1,"Bug","Flying",1.1,32,395,60,45,50,90,80,70,45,70,178,FALSE
"Weedle",1,"Bug","Poison",0.3,3.2,195,40,35,30,20,20,50,255,70,39,FALSE
"Kakuna",1,"Bug","Poison",0.6,10,205,45,25,50,25,25,35,120,70,72,FALSE
"Beedrill",1,"Bug","Poison",1,29.5,395,65,90,40,45,80,75,45,70,178,FALSE
"Mega Beedrill",1,"Bug","Poison",1.4,40.5,495,65,150,40,15,80,145,45,70,223,FALSE
"Pidgey",1,"Normal","Flying",0.3,1.8,251,40,45,40,35,35,56,255,70,50,FALSE
"Pidgeotto",1,"Normal","Flying",1.1,30,349,63,60,55,50,50,71,120,70,122,FALSE
"Pidgeot",1,"Normal","Flying",1.5,39.5,479,83,80,75,70,70,101,45,70,216,FALSE
"Mega Pidgeot",1,"Normal","Flying",2.2,50.5,579,83,80,80,135,80,121,45,70,261,FALSE
"Rattata",1,"Normal","",0.3,3.5,253,30,56,35,25,35,72,255,70,51,FALSE
"Alolan Rattata",1,"Dark","Normal",0.3,3.8,253,30,56,35,25,35,72,255,70,51,FALSE
"Raticate",1,"Normal","",0.7,18.5,413,55,81,60,50,70,97,127,70,145,FALSE
"Alolan Raticate",1,"Dark","Normal",0.7,25.5,413,75,71,70,40,80,77,127,70,145,FALSE
"Spearow",1,"Normal","Flying",0.3,2,262,40,60,30,31,31,70,255,70,52,FALSE
"Fearow",1,"Normal","Flying",1.2,38,442,65,90,65,61,61,100,90,70,155,FALSE
"Ekans",1,"Poison","",2,6.9,288,35,60,44,40,54,55,255,70,58,FALSE
"Arbok",1,"Poison","",3.5,65,448,60,95,69,65,79,80,90,70,157,FALSE
"Pikachu",1,"Electric","",0.4,6,320,35,55,40,50,50,90,190,70,112,FALSE
"Partner Pikachu",1,"Electric","",0.4,6,430,45,80,50,75,60,120,190,70,112,FALSE
"Raichu",1,"Electric","",0.8,30,485,60,90,55,90,80,110,75,70,218,FALSE
"Alolan Raichu",1,"Electric","Psychic",0.7,21,485,60,85,50,95,85,110,75,70,218,FALSE
"Sandshrew",1,"Ground","",0.6,12,300,50,75,85,20,30,40,255,70,60,FALSE
"Alolan Sandshrew",1,"Ice","Steel",0.7,40,300,50,75,90,10,35,40,255,70,60,FALSE
"Sandslash",1,"Ground","",1,29.5,450,75,100,110,45,55,65,90,70,158,FALSE
"Alolan Sandslash",1,"Ice","Steel",1.2,55,450,75,100,120,25,65,65,90,70,158,FALSE
"Nidoran♀",1,"Poison","",0.4,7,275,55,47,52,40,40,41,235,70,55,FALSE
"Nidorina",1,"Poison","",0.8,20,365,70,62,67,55,55,56,120,70,128,FALSE
"Nidoqueen",1,"Poison","Ground",1.3,60,505,90,92,87,75,85,76,45,70,227,FALSE
"Nidoran♂",1,"Poison","",0.5,9,273,46,57,40,40,40,50,235,70,55,FALSE
"Nidorino",1,"Poison","",0.9,19.5,365,61,72,57,55,55,65,120,70,128,FALSE
"Nidoking",1,"Poison","Ground",1.4,62,505,81,102,77,85,75,85,45,70,227,FALSE
"Clefairy",1,"Fairy","",0.6,7.5,323,70,45,48,60,65,35,150,140,113,FALSE
"Clefable",1,"Fairy","",1.3,40,483,95,70,73,95,90,60,25,140,217,FALSE
"Vulpix",1,"Fire","",0.6,9.9,299,38,41,40,50,65,65,190,70,60,FALSE
"Alolan Vulpix",1,"Ice","",0.6,9.9,299,38,41,40,50,65,65,190,70,60,FALSE
"Ninetales",1,"Fire","",1.1,19.9,505,73,76,75,81,100,100,75,70,177,FALSE
"Alolan Ninetales",1,"Ice","Fairy",1.1,19.9,505,73,67,75,81,100,109,75,70,177,FALSE
"Jigglypuff",1,"Normal","Fairy",0.5,5.5,270,115,45,20,45,25,20,170,70,95,FALSE
"Wigglytuff",1,"Normal","Fairy",1,12,435,140,70,45,85,50,45,50,70,196,FALSE
"Zubat",1,"Poison","Flying",0.8,7.5,245,40,45,35,30,40,55,255,70,49,FALSE
"Golbat",1,"Poison","Flying",1.6,55,455,75,80,70,65,75,90,90,70,159,FALSE
"Oddish",1,"Grass","Poison",0.5,5.4,320,45,50,55,75,65,30,255,70,64,FALSE
"Gloom",1,"Grass","Poison",0.8,8.6,395,60,65,70,85,75,40,120,70,138,FALSE
"Vileplume",1,"Grass","Poison",1.2,18.6,490,75,80,85,110,90,50,45,70,221,FALSE
"Paras",1,"Bug","Grass",0.3,5.4,285,35,70,55,45,55,25,190,70,57,FALSE
"Parasect",1,"Bug","Grass",1,29.5,405,60,95,80,60,80,30,75,70,142,FALSE
"Venonat",1,"Bug","Poison",1,30,305,60,55,50,40,55,45,190,70,61,FALSE
"Venomoth",1,"Bug","Poison",1.5,12.5,450,70,65,60,90,75,90,75,70,158,FALSE
"Diglett",1,"Ground","",0.2,0.8,265,10,55,25,35,45,95,255,70,53,FALSE
"Alolan Diglett",1,"Ground","Steel",0.2,1,265,10,55,30,35,45,90,255,70,53,FALSE
"Dugtrio",1,"Ground","",0.7,33.3,425,35,100,50,50,70,120,50,70,149,FALSE
"Alolan Dugtrio",1,"Ground","Steel",0.7,66.6,425,35,100,60,50,70,110,50,70,149,FALSE
"Meowth",1,"Normal","",0.4,4.2,290,40,45,35,40,40,90,255,70,58,FALSE
"Alolan Meowth",1,"Dark","",0.4,4.2,290,40,35,35,50,40,90,255,70,58,FALSE
"Persian",1,"Normal","",1,32,440,65,70,60,65,65,115,90,70,154,FALSE
"Alolan Persian",1,"Dark","",1.1,33,440,65,60,60,75,65,115,90,70,154,FALSE
"Psyduck",1,"Water","",0.8,19.6,320,50,52,48,65,50,55,190,70,64,FALSE
"Golduck",1,"Water","",1.7,76.6,500,80,82,78,95,80,85,75,70,175,FALSE
"Mankey",1,"Fighting","",0.5,28,305,40,80,35,35,45,70,190,70,61,FALSE
"Primeape",1,"Fighting","",1,32,455,65,105,60,60,70,95,75,70,159,FALSE
"Growlithe",1,"Fire","",0.7,19,350,55,70,45,70,50,60,190,70,70,FALSE
"Arcanine",1,"Fire","",1.9,155,555,90,110,80,100,80,95,75,70,194,FALSE
"Poliwag",1,"Water","",0.6,12.4,300,40,50,40,40,40,90,255,70,60,FALSE
"Poliwhirl",1,"Water","",1,20,385,65,65,65,50,50,90,120,70,135,FALSE
"Poliwrath",1,"Water","Fighting",1.3,54,510,90,95,95,70,90,70,45,70,230,FALSE
"Abra",1,"Psychic","",0.9,19.5,310,25,20,15,105,55,90,200,70,62,FALSE
"Kadabra",1,"Psychic","",1.3,56.5,400,40,35,30,120,70,105,100,70,140,FALSE
"Alakazam",1,"Psychic","",1.5,48,500,55,50,45,135,95,120,50,70,225,FALSE
"Mega Alakazam",1,"Psychic","",1.2,48,600,55,50,65,175,105,150,50,70,270,FALSE
"Machop",1,"Fighting","",0.8,19.5,305,70,80,50,35,35,35,180,70,61,FALSE
"Machoke",1,"Fighting","",1.5,70.5,405,80,100,70,50,60,45,90,70,142,FALSE
"Machamp",1,"Fighting","",1.6,130,505,90,130,80,65,85,55,45,70,227,FALSE
"Bellsprout",1,"Grass","Poison",0.7,4,300,50,75,35,70,30,40,255,70,60,FALSE
"Weepinbell",1,"Grass","Poison",1,6.4,390,65,90,50,85,45,55,120,70,137,FALSE
"Victreebel",1,"Grass","Poison",1.7,15.5,490,80,105,65,100,70,70,45,70,221,FALSE
"Tentacool",1,"Water","Poison",0.9,45.5,335,40,40,35,50,100,70,190,70,67,FALSE
"Tentacruel",1,"Water","Poison",1.6,55,515,80,70,65,80,120,100,60,70,180,FALSE
"Geodude",1,"Rock","Ground",0.4,20,300,40,80,100,30,30,20,255,70,60,FALSE
"Alolan Geodude",1,"Rock","Electric",0.4,20.3,300,40,80,100,30,30,20,255,70,60,FALSE
"Graveler",1,"Rock","Ground",1,105,390,55,95,115,45,45,35,120,70,137,FALSE
"Alolan Graveler",1,"Rock","Electric",1,110,390,55,95,115,45,45,35,120,70,137,FALSE
"Golem",1,"Rock","Ground",1.4,300,495,80,120,130,55,65,45,45,70,223,FALSE
"Alolan Golem",1,"Rock","Electric",1.7,316,495,80,120,130,55,65,45,45,70,223,FALSE
"Ponyta",1,"Fire","",1,30,410,50,85,55,65,65,90,190,70,82,FALSE
"Rapidash",1,"Fire","",1.7,95,500,65,100,70,80,80,105,60,70,175,FALSE
"Slowpoke",1,"Water","Psychic",1.2,36,315,90,65,65,40,40,15,190,70,63,FALSE
"Slowbro",1,"Water","Psychic",1.6,78.5,490,95,75,110,100,80,30,75,70,172,FALSE
"Mega Slowbro",1,"Water","Psychic",2,120,590,95,75,180,130,80,30,75,70,207,FALSE
"Magnemite",1,"Electric","Steel",0.3,6,325,25,35,70,95,55,45,190,70,65,FALSE
"Magneton",1,"Electric","Steel",1,60,465,50,60,95,120,70,70,60,70,163,FALSE
"Farfetch'd",1,"Normal","Flying",0.8,15,377,52,90,55,58,62,60,45,70,132,FALSE
"Doduo",1,"Normal","Flying",1.4,39.2,310,35,85,45,35,35,75,190,70,62,FALSE
"Dodrio",1,"Normal","Flying",1.8,85.2,470,60,110,70,60,60,110,45,70,165,FALSE
"Seel",1,"Water","",1.1,90,325,65,45,55,45,70,45,190,70,65,FALSE
"Dewgong",1,"Water","Ice",1.7,120,475,90,70,80,70,95,70,75,70,166,FALSE
"Grimer",1,"Poison","",0.9,30,325,80,80,50,40,50,25,190,70,65,FALSE
"Alolan Grimer",1,"Poison","Dark",0.7,42,325,80,80,50,40,50,25,190,70,65,FALSE
"Muk",1,"Poison","",1.2,30,500,105,105,75,65,100,50,75,70,175,FALSE
